Plate_number	Sample_name	Replicate	Sample_type	Treatment	Blanking_group	Dilution_factor	Standard_group	Ave_abs_blanked	StdDev_abs_blanked	Ave_concentration	StdDev_concentration	Concentration_units
2	t6_9	1	Unknown	FeTot	FeTot	1.09	1	0.07725	0.00106066	112.1260962	1.539516951	uM
1	t7_1	1	Unknown	Fe2	Fe2	1.09	1	0.03375	7.07E-05	49.72397014	0.104178241	uM
1	t7_1	1	Unknown	FeTot	FeTot	1.09	1	0.06875	0.002192031	101.2895688	3.229525483	uM
1	t7_10	1	Unknown	Fe2	Fe2	1.09	1	0.05315	0.000494975	78.30604482	0.72924769	uM
1	t7_10	1	Unknown	FeTot	FeTot	1.09	1	0.074	0.001555635	109.0244086	2.291921311	uM
1	t7_11	1	Unknown	Fe2	Fe2	1.09	1	0.01545	0.003040559	22.76252855	4.47966438	uM
1	t7_11	1	Unknown	FeTot	FeTot	1.09	1	0.06795	0.001202082	100.1109265	1.771030104	uM
1	t7_12	1	Unknown	Fe2	Fe2	1.09	1	0.02055	0.001767767	30.27637293	2.604456035	uM
1	t7_12	1	Unknown	FeTot	FeTot	1.09	1	0.08015	0.00205061	118.0852209	3.021169	uM
1	t7_13	1	Unknown	Fe2	Fe2	1.09	1	0.0046	0.001414214	6.777192967	2.083564828	uM
1	t7_13	1	Unknown	FeTot	FeTot	1.09	1	0.07235	0.00205061	106.5934589	3.021169	uM
1	t7_14	1	Unknown	Fe2	Fe2	1.09	1	0.0065	0.001414214	9.576468323	2.083564828	uM
1	t7_14	1	Unknown	FeTot	FeTot	1.09	1	0.07385	0.001202082	108.8034132	1.771030104	uM
1	t7_15	1	Unknown	Fe2	Fe2	1.09	1	0.03805	0.003040559	56.05917226	4.47966438	uM
